Country,Type,Count
USA,GFP_Rank,1
USA,Power_Index_rating,0.0857
USA,Total_Population,323995528
USA,Manpower_Available,145215000
USA,Fit_for_Service,120025000
USA,Reaching_Military_Age,4220000
USA,Total_Military_Personnel,2363675
USA,Active_Personnel,1373650
USA,Reserve_Personnel,990025
Russia,GFP_Rank,2
Russia,Power_Index_rating,0.0929
Russia,Total_Population,142355415
Russia,Manpower_Available,70000000
Russia,Fit_for_Service,47000000
Russia,Reaching_Military_Age,1355000
Russia,Total_Military_Personnel,3371027
Russia,Active_Personnel,798527
Russia,Reserve_Personnel,2572500
China,GFP_Rank,3
China,Power_Index_rating,0.0945
China,Total_Population,1373541278
China,Manpower_Available,750000000
China,Fit_for_Service,619000000
China,Reaching_Military_Age,19550000
China,Total_Military_Personnel,3712500
China,Active_Personnel,2260000
China,Reserve_Personnel,1452500
India,GFP_Rank,4
India,Power_Index_rating,0.1593
India,Total_Population,1266883598
India,Manpower_Available,616000000
India,Fit_for_Service,489600000
India,Reaching_Military_Age,22900000
India,Total_Military_Personnel,4207250
India,Active_Personnel,1362500
India,Reserve_Personnel,2844750
France,GFP_Rank,5
France,Power_Index_rating,0.1914
France,Total_Population,66836154
France,Manpower_Available,30000000
France,Fit_for_Service,23750000
France,Reaching_Military_Age,775000
France,Total_Military_Personnel,387635
France,Active_Personnel,204000
France,Reserve_Personnel,183635
UK,GFP_Rank,6
UK,Power_Index_rating,0.2131
UK,Total_Population,64430428
UK,Manpower_Available,30000000
UK,Fit_for_Service,24040000
UK,Reaching_Military_Age,750000
UK,Total_Military_Personnel,232675
UK,Active_Personnel,151175
UK,Reserve_Personnel,81500
Japan,GFP_Rank,7
Japan,Power_Index_rating,0.2137
Japan,Total_Population,126702133
Japan,Manpower_Available,54000000
Japan,Fit_for_Service,44000000
Japan,Reaching_Military_Age,1215000
Japan,Total_Military_Personnel,311875
Japan,Active_Personnel,248575
Japan,Reserve_Personnel,63300
Turkey,GFP_Rank,8
Turkey,Power_Index_rating,0.2491
Turkey,Total_Population,80274604
Turkey,Manpower_Available,41640000
Turkey,Fit_for_Service,35010000
Turkey,Reaching_Military_Age,1375000
Turkey,Total_Military_Personnel,743415
Turkey,Active_Personnel,382850
Turkey,Reserve_Personnel,360565
Germany,GFP_Rank,9
Germany,Power_Index_rating,0.2609
Germany,Total_Population,80722792
Germany,Manpower_Available,37000000
Germany,Fit_for_Service,29540000
Germany,Reaching_Military_Age,791000
Germany,Total_Military_Personnel,210000
Germany,Active_Personnel,180000
Germany,Reserve_Personnel,30000
Egypt,GFP_Rank,10
Egypt,Power_Index_rating,0.2676
Egypt,Total_Population,94666993
Egypt,Manpower_Available,42000000
Egypt,Fit_for_Service,35306000
Egypt,Reaching_Military_Age,1535000
Egypt,Total_Military_Personnel,1329250
Egypt,Active_Personnel,454250
Egypt,Reserve_Personnel,875000
USA,Total_Aircraft_Strength,13762
USA,Fighter_Aircraft,2296
USA,Attack_Aircraft,2785
USA,Transport_Aircraft,5739
USA,Trainer_Aircraft,2831
USA,Total_Helicopter_Strength,6065
USA,Other_Helicopter_Strength,5118
USA,Attack_Helicopters,947
Russia,Total_Aircraft_Strength,3794
Russia,Fighter_Aircraft,806
Russia,Attack_Aircraft,1438
Russia,Transport_Aircraft,1124
Russia,Trainer_Aircraft,387
Russia,Total_Helicopter_Strength,1389
Russia,Other_Helicopter_Strength,899
Russia,Attack_Helicopters,490
China,Total_Aircraft_Strength,2955
China,Fighter_Aircraft,1271
China,Attack_Aircraft,1385
China,Transport_Aircraft,782
China,Trainer_Aircraft,352
China,Total_Helicopter_Strength,912
China,Other_Helicopter_Strength,706
China,Attack_Helicopters,206
India,Total_Aircraft_Strength,2102
India,Fighter_Aircraft,676
India,Attack_Aircraft,809
India,Transport_Aircraft,857
India,Trainer_Aircraft,323
India,Total_Helicopter_Strength,666
India,Other_Helicopter_Strength,650
India,Attack_Helicopters,16
France,Total_Aircraft_Strength,1305
France,Fighter_Aircraft,296
France,Attack_Aircraft,284
France,Transport_Aircraft,662
France,Trainer_Aircraft,283
France,Total_Helicopter_Strength,610
France,Other_Helicopter_Strength,561
France,Attack_Helicopters,49
UK,Total_Aircraft_Strength,856
