Country,Labour_Force,Merchant_Marine_Strength,Major_Ports,Roadway_Coverage,Railway_Coverage,Servicable_Airports
USA,158600000,393,24,6586610,224792,13513
Russia,77410000,1143,7,982000,87157,1218
China,805900000,2030,15,3860800,86000,507
India,513700000,340,7,3320410,63974,346
France,30480000,162,14,951200,29640,464
UK,33170000,504,14,394428,16454,460
Japan,65930000,684,10,1210251,27182,175
Turkey,30240000,629,9,352046,8699,98
Germany,45300000,427,13,644480,41981,539
Egypt,31960000,67,7,65050,5083,83
