Country,Vehicle_Type,Vehicle_Count
USA,Combat_Tanks,5884
USA,Armoured_Fighting_Vehicles,41062
USA,Self_Propelled_Artillery,1934
USA,Towed_Artillery,1299
USA,Rocket_Projectors,1331
Russia,Combat_Tanks,20216
Russia,Armoured_Fighting_Vehicles,31298
Russia,Self_Propelled_Artillery,5972
Russia,Towed_Artillery,4625
Russia,Rocket_Projectors,3793
China,Combat_Tanks,6457
China,Armoured_Fighting_Vehicles,4788
China,Self_Propelled_Artillery,1710
China,Towed_Artillery,6246
China,Rocket_Projectors,1770
India,Combat_Tanks,4426
India,Armoured_Fighting_Vehicles,6704
India,Self_Propelled_Artillery,290
India,Towed_Artillery,7414
India,Rocket_Projectors,292
France,Combat_Tanks,406
France,Armoured_Fighting_Vehicles,6863
France,Self_Propelled_Artillery,325
France,Towed_Artillery,233
France,Rocket_Projectors,44
UK,Combat_Tanks,249
UK,Armoured_Fighting_Vehicles,5948
UK,Self_Propelled_Artillery,89
UK,Towed_Artillery,138
UK,Rocket_Projectors,42
Japan,Combat_Tanks,700
Japan,Armoured_Fighting_Vehicles,2850
Japan,Self_Propelled_Artillery,202
Japan,Towed_Artillery,500
Japan,Rocket_Projectors,99
Turkey,Combat_Tanks,2445
Turkey,Armoured_Fighting_Vehicles,7550
Turkey,Self_Propelled_Artillery,1013
Turkey,Towed_Artillery,697
Turkey,Rocket_Projectors,811
Germany,Combat_Tanks,543
Germany,Armoured_Fighting_Vehicles,5869
Germany,Self_Propelled_Artillery,154
Germany,Towed_Artillery,0
Germany,Rocket_Projectors,50
Egypt,Combat_Tanks,4110
Egypt,Armoured_Fighting_Vehicles,13949
Egypt,Self_Propelled_Artillery,889
Egypt,Towed_Artillery,2360
Egypt,Rocket_Projectors,1481
